(33.7680065, 66.2385139)
(28.0000272, 2.9999825)
(-24.7761086, 134.755)
(47.2000338, 13.199959)
(26.1551249, 50.5344606)
(50.6402809, 4.6667145)
(-10.3333333, -53.2)
(13.5066394, 104.869423)
(61.0666922, -107.9917071)
(35.000074, 104.999927)
(45.5643442, 17.0118954)
(-1.3397668, -79.3666965)
(26.2540493, 29.2675469)
(58.7523778, 25.3319078)
(63.2467777, 25.9209164)
(46.603354, 1.8883335)
(32.3293809, -83.1137366)
(51.0834196, 10.4234469)
(38.9953683, 21.9877132)
(22.3511148, 78.6677428)
(32.6475314, 54.5643516)
(33.0955793, 44.1749775)
(31.5313113, 34.8667654)
(42.6384261, 12.674297)
(36.5748441, 139.2394179)
(29.2733964, 47.4979476)
(33.8750629, 35.843409)
(55.3500003, 23.7499997)
(4.5693754, 102.2656823)
(28.1083929, 84.0917139)
(52.5001698, 5.7480821)
(9.6000359, 7.9999721)
(41.6171214, 21.7168387)
(60.5000209, 9.0999715)
(21.0000287, 57.0036901)
(30.3308401, 71.247499)
(12.7503486, 122.7312101)
(45.9852129, 24.6859225)
(64.6863136, 97.7453061)
(43.9458623, 12.458306)
(1.357107, 103.8194992)
(36.638392, 127.6961188)
(39.3262345, -4.8380649)
(7.5554942, 80.7137847)
(59.6749712, 14.5208584)
(46.7985624, 8.2319736)
(14.8971921, 100.83273)
(24.0002488, 53.9994829)
(54.7023545, -3.2765753)
(39.7837304, -100.4458825)
(13.2904027, 108.4265113)
